fichero,url,delta_sg,calificacion
20250411_28077491_IES MONTSERRAT CABALLE_url_aula_NTP.json,https://aulavirtual38.educa.madrid.org/ies.montserratcaballe.trescantos/,7199.839912,9.95
20250411_28077491_IES MONTSERRAT CABALLE_url_web_NTP.json,http://www.educa.madrid.org/ies.montserratcaballe.trescantos,7199.750494,9.92
20250411_28077889_IES MALALA YOUSAFZAI_url_aula_NTP.json,https://aulavirtual36.educa.madrid.org/ies.malalayousafzai.madrid/,7199.446152,9.82
20250411_28077889_IES MALALA YOUSAFZAI_url_web_NTP.json,http://www.educa.madrid.org/ies.malalayousafzai.madrid,7201.439062,9.52
20250411_28077890_IES SIMONE VEIL_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.simoneveil.paracuellos/,7199.573662,9.86
20250411_28077890_IES SIMONE VEIL_url_web_NTP.json,http://www.educa.madrid.org/ies.simoneveil.paracuellos,7200.713924,9.76
20250411_28077907_IES AFRICA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.africa.fuenlabrada/,7199.896314,9.97
20250411_28077907_IES AFRICA_url_web_NTP.json,http://www.educa.madrid.org/ies.africa.fuenlabrada,7200.171555,9.94
20250411_28078031_IES ISABEL LA CATOLICA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.isabellacatolica.boadilla/,7199.304032,9.77
20250411_28078031_IES ISABEL LA CATOLICA_url_web_NTP.json,http://www.educa.madrid.org/ies.isabellacatolica.boadilla,7199.421158,9.81
20250411_28078043_IES GLORIA FUERTES_url_aula_NTP.json,https://aulavirtual36.educa.madrid.org/ies.gloriafuertes.alcobendas/,7199.058884,9.69
20250411_28078043_IES GLORIA FUERTES_url_web_NTP.json,http://site.educa.madrid.org/ies.gloriafuertes.alcobendas/,7199.69154,9.9
20250411_28078547_IES ELISA SORIANO FISCHER_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.elisasorianofischer.getafe/,7199.431197,9.81
20250411_28078547_IES ELISA SORIANO FISCHER_url_web_NTP.json,http://www.educa.madrid.org/ies.elisasorianofischer.getafe,7200.399785,9.87
20250411_28078559_IES ANTONIO FRAGUAS FORGES_url_aula_NTP.json,https://aulavirtual34.educa.madrid.org/ies.forges.madrid/,7199.326642,9.78
20250411_28078559_IES ANTONIO FRAGUAS FORGES_url_web_NTP.json,http://www.educa.madrid.org/ies.forges.madrid,7199.632032,9.88
20250411_28079357_IES JANE GOODALL_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.janegoodall.madrid/,7199.776158,9.93
20250411_28079357_IES JANE GOODALL_url_web_NTP.json,http://www.educa.madrid.org/ies.janegoodall.madrid,7199.884592,9.96
20250411_28079370_IES ANA FRANK_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.anafrank.madrid/,7199.440938,9.81
20250411_28079370_IES ANA FRANK_url_web_NTP.json,https://site.educa.madrid.org/ies.anafrank.madrid/,7200.243617,9.92
20250411_28079382_IES ADA BYRON_url_web_NTP.json,http://www.educa.madrid.org/ies.adabyron.madrid,7199.820372,9.94
20250411_28079394_IES FRANCISCA DE PEDRAZA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.franciscadepedraza.alcala/,7199.978991,9.99
20250411_28079394_IES FRANCISCA DE PEDRAZA_url_web_NTP.json,http://www.educa.madrid.org/ies.franciscadepedraza.alcala,7200.519043,9.83
20250411_28079400_IES JUAN BAUTISTA MONEGRO_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.juanbautistamonegro.torrejondeardoz/,7200.071315,9.98
20250411_28079400_IES JUAN BAUTISTA MONEGRO_url_web_NTP.json,http://www.educa.madrid.org/ies.juanbautistamonegro.torrejondeardoz,7200.285286,9.9
20250411_28080025_IES JOSE PEDRO PEREZ LLORCA_url_aula_NTP.json,http://aulavirtual3.educa.madrid.org/ies.josepedroperezllorca.parla,7200.436563,9.85
20250411_28080025_IES JOSE PEDRO PEREZ LLORCA_url_web_NTP.json,http://www.educa.madrid.org/ies.josepedroperezllorca.parla,7198.528626,9.51
20250411_28080037_IES BLANCA FERNANDEZ OCHOA_url_aula_NTP.json,https://aulavirtual36.educa.madrid.org/ies.blancafdezochoa.madrid/,7199.754621,9.92
20250411_28080037_IES BLANCA FERNANDEZ OCHOA_url_web_NTP.json,http://www.educa.madrid.org/ies.blancafdezochoa.madrid,7199.803681,9.93
20250411_28080050_IES TORCUATO FERNANDEZ MIRANDA_url_aula_NTP.json,https://aulavirtual36.educa.madrid.org/ies.torcuatofdezmiranda.arroyomolinos/,7199.591577,9.86
20250411_28080050_IES TORCUATO FERNANDEZ MIRANDA_url_web_NTP.json,http://www.educa.madrid.org/ies.torcuatofdezmiranda.arroyomolinos,7201.010062,9.66
20250411_28080141_IES CENTRO INTEGRAL DE FORMACION PROFESIONAL A DISTANCIA IGNACIO ELLACURIA_url_aula_NTP.json,https://aulavirtual37.educa.madrid.org/ies.ignacioellacuria.alcorcon/,7199.053454,9.68
20250411_28080141_IES CENTRO INTEGRAL DE FORMACION PROFESIONAL A DISTANCIA IGNACIO ELLACURIA_url_web_NTP.json,http://www.educa.madrid.org/ies.ignacioellacuria.alcorcon,7200.04161,9.99
20250411_28080517_IES ISIDRA DE GUZMAN_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.isidradeguzman.alcala/,7199.636256,9.88
20250411_28080517_IES ISIDRA DE GUZMAN_url_web_NTP.json,http://www.educa.madrid.org/ies.isidradeguzman.alcala,7199.486656,9.83
20250411_28080967_IES MARIA GOYRI GOYRI_url_aula_NTP.json,https://aulavirtual38.educa.madrid.org/ies.mariagoyrigoyri.madrid/,7199.276992,9.76
20250411_28080967_IES MARIA GOYRI GOYRI_url_web_NTP.json,http://www.educa.madrid.org/ies.mariagoyrigoyri.madrid,7199.978345,9.99
20250411_28082307_IES  EL BOALO_url_aula_NTP.json,http://aulavirtual3.educa.madrid.org/ies.elboalo,7200.409084,9.86
20250411_28082307_IES  EL BOALO_url_web_NTP.json,http://www.educa.madrid.org/ies.elboalo,7200.57854,9.81
20250412_28000364_IES COMPLUTENSE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.complutense.alcala/,7198.707526,9.57
20250412_28000364_IES COMPLUTENSE_url_web_NTP.json,http://www.educa.madrid.org/ies.complutense.alcala,7200.405187,9.86
20250412_28000467_IES ALONSO DE AVELLANEDA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.alonsodeavellan.alcala/,7198.922463,9.64
20250412_28000467_IES ALONSO DE AVELLANEDA_url_web_NTP.json,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,7199.922346,9.97
20250412_28000522_IES ANTONIO MACHADO_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.machado.alcala/,7198.597988,9.53
20250412_28000522_IES ANTONIO MACHADO_url_web_NTP.json,http://www.educa.madrid.org/ies.machado.alcala,7200.459107,9.85
20250412_28000753_IES FRANCISCO GINER DE LOS RIOS_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.ginerdelosrios.alcobendas/,7199.14933,9.72
20250412_28000753_IES FRANCISCO GINER DE LOS RIOS_url_web_NTP.json,http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,7200.032708,9.99
20250412_28001629_IES DOMENICO SCARLATTI_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.domenicoscarlat.aranjuez/,7198.806474,9.6
20250412_28001629_IES DOMENICO SCARLATTI_url_web_NTP.json,http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez,7198.645694,9.55
20250412_28001678_IES JORGE MANRIQUE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.jorgemanrique.trescantos/,7198.855858,9.62
20250412_28001678_IES JORGE MANRIQUE_url_web_NTP.json,http://www.educa.madrid.org/ies.jorgemanrique.trescantos,7200.34514,9.88
20250412_28001769_IES EL CARRASCAL_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.elcarrascal.arganda/,7198.725591,9.58
20250412_28001769_IES EL CARRASCAL_url_web_NTP.json,http://www.educa.madrid.org/ies.elcarrascal.arganda,7200.540547,9.82
20250412_28002181_IES JUAN CARLOS I_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.juancarlosprimero.ciempozuelos/,7199.369161,9.79
20250412_28002181_IES JUAN CARLOS I_url_web_NTP.json,http://www.educa.madrid.org/ies.juancarlosprimero.ciempozuelos,7200.330547,9.89
20250412_28002312_IES MARQUES DE SANTILLANA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.marquesdesantil.colmenarviejo/,7198.717612,9.57
20250412_28002312_IES MARQUES DE SANTILLANA_url_web_NTP.json,http://www.educa.madrid.org/ies.marquesdesantil.colmenarviejo,7199.874044,9.96
20250412_28002415_IES JAIME FERRAN_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.jaimeferran.colladovillalba/,7198.932799,9.64
20250412_28002415_IES JAIME FERRAN_url_web_NTP.json,http://www.educa.madrid.org/ies.jaimeferran.colladovillalba,7200.178384,9.94
20250412_28002580_IES MIGUEL CATALÁN_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.miguelcatalan.coslada/,7199.33889,9.78
20250412_28002580_IES MIGUEL CATALÁN_url_web_NTP.json,http://www.educa.madrid.org/ies.miguelcatalan.coslada,7200.276503,9.91
20250412_28003201_IES MATEMATICO PUIG ADAM_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.puigadam.getafe/,7198.891057,9.63
20250412_28003201_IES MATEMATICO PUIG ADAM_url_web_NTP.json,http://www.educa.madrid.org/ies.puigadam.getafe,7200.102901,9.97
20250412_28003304_IES ALARNES_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.alarnes.getafe/,7199.445262,9.82
20250412_28003304_IES ALARNES_url_web_NTP.json,http://www.educa.madrid.org/ies.alarnes.getafe,7198.44659,9.48
20250412_28003882_IES JOSE DE CHURRIGUERA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.churriguera.leganes/,7199.184001,9.73
20250412_28003882_IES JOSE DE CHURRIGUERA_url_web_NTP.json,http://www.educa.madrid.org/ies.churriguera.leganes,7200.28612,9.9
20250412_28003894_IES LUIS VIVES_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.luisvives.leganes/,7199.161779,9.72
20250412_28003894_IES LUIS VIVES_url_web_NTP.json,http://www.educa.madrid.org/ies.luisvives.leganes,7199.41326,9.8
20250412_28003900_IES MARIA ZAMBRANO_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.mariazambrano.leganes/,7199.038813,9.68
20250412_28003900_IES MARIA ZAMBRANO_url_web_NTP.json,http://www.educa.madrid.org/ies.mariazambrano.leganes,7200.680536,9.77
20250412_28004059_IES CERVANTES_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.cervantes.madrid/,7199.217474,9.74
20250412_28004059_IES CERVANTES_url_web_NTP.json,http://www.educa.madrid.org/ies.cervantes.madrid,7199.536124,9.85
20250412_28013899_IES EL ESPINILLO _url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.elespinillo.madrid/,7199.44938,9.82
20250412_28013899_IES EL ESPINILLO _url_web_NTP.json,http://www.educa.madrid.org/ies.elespinillo.madrid,7200.716494,9.76
20250412_28015756_IES VALDEBERNARDO_url_aula_NTP.json,http://aulavirtual3.educa.madrid.org/ies.valdebernardo.madrid,7199.817621,9.94
20250412_28015756_IES VALDEBERNARDO_url_web_NTP.json,http://www.educa.madrid.org/ies.valdebernardo.madrid,7206.844914,7.72
20250412_28018344_IES SANTA TERESA DE JESUS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.santateresa.madrid/,7198.966275,9.66
20250412_28018344_IES SANTA TERESA DE JESUS_url_web_NTP.json,http://www.educa.madrid.org/ies.santateresa.madrid,7199.828722,9.94
20250412_28018356_IES SANTAMARCA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.santamarca.madrid/,7198.738459,9.58
20250412_28018356_IES SANTAMARCA_url_web_NTP.json,http://www.educa.madrid.org/ies.santamarca.madrid,7199.972001,9.99
20250412_28018368_IES SANTA ENGRACIA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.santaengracia.madrid/,7198.97367,9.66
20250412_28018368_IES SANTA ENGRACIA_url_web_NTP.json,http://www.educa.madrid.org/ies.santaengracia.madrid,7200.250835,9.92
20250412_28018381_IES ORTEGA Y GASSET_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.ortegaygasset.madrid/,7199.139757,9.71
20250412_28018381_IES ORTEGA Y GASSET_url_web_NTP.json,http://www.educa.madrid.org/ies.ortegaygasset.madrid,7199.616836,9.87
20250412_28018435_IES EMILIO CASTELAR_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.emiliocastelar.madrid/,7198.656705,9.55
20250412_28018435_IES EMILIO CASTELAR_url_web_NTP.json,http://www.educa.madrid.org/ies.emiliocastelar.madrid,7199.655182,9.89
20250412_28018460_IES ARCIPRESTE DE HITA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.arciprestedehita.madrid/,7198.683527,9.56
20250412_28018460_IES ARCIPRESTE DE HITA_url_web_NTP.json,https://www.educa2.madrid.org/web/centro.ies.arciprestedehita.madrid,7208.264069,7.25
20250412_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.sancristobal.madrid/,7199.178359,9.73
20250412_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_web_NTP.json,http://www.educa.madrid.org/ies.sancristobal.madrid,7200.165983,9.94
20250412_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.rodriguezdevalcarcel.madrid/,7199.014111,9.67
20250412_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_web_NTP.json,http://www.educa.madrid.org/ies.rodriguezdevalcarcel.madrid,7206.598713,7.8
20250412_28018903_IES JOAQUÍN TURINA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.joaquinturina.madrid/,7198.765258,9.59
20250412_28018903_IES JOAQUÍN TURINA_url_web_NTP.json,http://www.educa.madrid.org/ies.joaquinturina.madrid,7200.070434,9.98
20250412_28019312_IES EL LAGO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.ellago.madrid/,7199.165578,9.72
20250412_28019312_IES EL LAGO_url_web_NTP.json,http://www.educa.madrid.org/ies.ellago.madrid,7208.240162,7.25
20250412_28019351_IES SAN FERNANDO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.sanfernando.madrid/,7199.053243,9.68
20250412_28019351_IES SAN FERNANDO_url_web_NTP.json,https://www.iessanfernando.com,7200.168008,9.94
20250412_28019464_IES TIRSO DE MOLINA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.tirsodemolina.madrid/,7199.441683,9.81
20250412_28019464_IES TIRSO DE MOLINA_url_web_NTP.json,http://www.educa.madrid.org/ies.tirsodemolina.madrid,7199.695354,9.9
20250412_28019889_IES LOPE DE VEGA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.lopedevega.madrid/,7199.164721,9.72
20250412_28019889_IES LOPE DE VEGA_url_web_NTP.json,http://www.educa.madrid.org/ies.lopedevega.madrid,7199.940561,9.98
20250412_28019971_IES BARAJAS_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.barajas.madrid/,7198.728758,9.58
20250412_28019971_IES BARAJAS_url_web_NTP.json,http://www.educa.madrid.org/ies.barajas.madrid,7199.800471,9.93
20250412_28020119_IES GREGORIO MARAÑON_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.gregoriomaranon.madrid/,7199.666901,9.89
20250412_28020119_IES GREGORIO MARAÑON_url_web_NTP.json,http://www.educa.madrid.org/ies.gregoriomaranon.madrid,7207.958946,7.35
20250412_28020201_IES BARRIO SIMANCAS_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.barriosimancas.madrid/,7199.048016,9.68
20250412_28020201_IES BARRIO SIMANCAS_url_web_NTP.json,http://www.educa.madrid.org/ies.barriosimancas.madrid,7199.921471,9.97
20250412_28020341_IES VIRGEN DE LA PALOMA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.lapaloma.madrid/,7199.483656,9.83
20250412_28020341_IES VIRGEN DE LA PALOMA_url_web_NTP.json,http://www.educa.madrid.org/ies.lapaloma.madrid,7199.719796,9.91
20250412_28020545_IES CONDE DE ORGAZ_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.condedeorgaz.madrid/,7198.942645,9.65
20250412_28020545_IES CONDE DE ORGAZ_url_web_NTP.json,http://www.educa.madrid.org/ies.condedeorgaz.madrid,7199.968308,9.99
20250412_28020557_IES CARLOS III_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.carlostercero.madrid/,7199.17772,9.73
20250412_28020557_IES CARLOS III_url_web_NTP.json,http://www.educa.madrid.org/ies.carlostercero.madrid,7200.393131,9.87
20250412_28020570_IES SAN BLAS_url_aula_NTP.json,https://aulavirtual36.educa.madrid.org/ies.sanblas.madrid/,7198.662933,9.55
20250412_28020570_IES SAN BLAS_url_web_NTP.json,http://www.educa.madrid.org/ies.sanblas.madrid,7199.687154,9.9
20250412_28020582_IES GÓMEZ MORENO_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.gomezmoreno.madrid/,7199.013405,9.67
20250412_28020582_IES GÓMEZ MORENO_url_web_NTP.json,http://www.educa.madrid.org/ies.gomezmoreno.madrid,7200.236538,9.92
20250412_28020624_IES REY PASTOR_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.reypastor.madrid/,7198.82879,9.61
20250412_28020624_IES REY PASTOR_url_web_NTP.json,http://www.educa.madrid.org/ies.reypastor.madrid,7200.320735,9.89
20250412_28020648_IES VALLECAS I_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.vallecasuno.madrid/,7199.539188,9.85
20250412_28020648_IES VALLECAS I_url_web_NTP.json,https://site.educa.madrid.org/ies.vallecasuno.madrid/,7200.270389,9.91
20250412_28020703_IES ENRIQUE TIERNO GALVAN_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.tiernogalvan.madrid/,7199.265772,9.76
20250412_28020703_IES ENRIQUE TIERNO GALVAN_url_web_NTP.json,http://www.educa.madrid.org/ies.tiernogalvan.madrid,7200.943311,9.69
20250412_28020715_IES PIO BAROJA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.piobaroja.madrid/,7199.501161,9.83
20250412_28020715_IES PIO BAROJA_url_web_NTP.json,http://www.educa.madrid.org/ies.piobaroja.madrid,7198.631165,9.54
20250412_28020727_IES PARQUE ALUCHE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.parquealuche.madrid/,7198.955351,9.65
20250412_28020727_IES PARQUE ALUCHE_url_web_NTP.json,http://www.educa.madrid.org/ies.parquealuche.madrid,7200.068928,9.98
20250412_28020739_IES EIJO Y GARAY_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.eijogaray.madrid/,7199.396486,9.8
20250412_28020739_IES EIJO Y GARAY_url_web_NTP.json,http://www.educa.madrid.org/ies.eijogaray.madrid,7200.276669,9.91
20250412_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.almudena.madrid/,7199.683358,9.89
20250412_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_web_NTP.json,http://www.educa.madrid.org/ies.almudena.madrid,7200.380108,9.87
20250412_28020831_IES TETUAN DE LAS VICTORIAS_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.tetuan.madrid/,7199.291438,9.76
20250412_28020831_IES TETUAN DE LAS VICTORIAS_url_web_NTP.json,http://www.educa.madrid.org/ies.tetuan.madrid,7200.3718,9.88
20250412_28020855_IES CARDENAL HERRERA ORIA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.cardenalherrera.madrid/,7199.802472,9.93
20250412_28020855_IES CARDENAL HERRERA ORIA_url_web_NTP.json,http://www.educa.madrid.org/ies.cardenalherrera.madrid,7200.525451,9.82
20250412_28020892_IES BEATRIZ GALINDO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.beatrizgalindo.madrid/,7199.082052,9.69
20250412_28020892_IES BEATRIZ GALINDO_url_web_NTP.json,http://www.educa.madrid.org/ies.beatrizgalindo.madrid,7200.081822,9.97
20250412_28020909_IES ISABEL LA CATOLICA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.isabellacatolica.boadilla/,7199.545134,9.85
20250412_28020909_IES ISABEL LA CATOLICA_url_web_NTP.json,http://www.educa.madrid.org/ies.isabellacatolica.madrid,7200.340345,9.89
20250412_28020910_IES JUAN DE LA CIERVA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.juandelacierva.madrid/,7199.373515,9.79
20250412_28020910_IES JUAN DE LA CIERVA_url_web_NTP.json,http://iesjuandelacierva.es,7200.098075,9.97
20250412_28020934_IES CARDENAL CISNEROS_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.cardenalcisnero.madrid/,7199.572042,9.86
20250412_28020934_IES CARDENAL CISNEROS_url_web_NTP.json,http://www.educa.madrid.org/ies.cardenalcisnero.madrid,7200.773389,9.74
20250412_28020946_IES SAN ISIDRO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.sanisidro.madrid/,7199.425846,9.81
20250412_28020946_IES SAN ISIDRO_url_web_NTP.json,http://www.educa.madrid.org/ies.sanisidro.madrid,7199.80914,9.94
20250412_28020958_IES EMPERATRIZ MARIA DE AUSTRIA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.emperatrizmaria.madrid/,7198.882816,9.63
20250412_28020958_IES EMPERATRIZ MARIA DE AUSTRIA_url_web_NTP.json,http://www.educa.madrid.org/ies.emperatrizmaria.madrid,7199.878116,9.96
20250412_28020961_IES CALDERON DE LA BARCA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.calderondelabar.madrid/,7199.447707,9.82
20250412_28020961_IES CALDERON DE LA BARCA_url_web_NTP.json,http://www.educa.madrid.org/ies.calderondelabar.madrid,7200.489108,9.84
20250412_28021008_IES VISTA ALEGRE_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.vistaalegre.madrid/,7199.130643,9.71
20250412_28021008_IES VISTA ALEGRE_url_web_NTP.json,http://www.educa.madrid.org/ies.vistaalegre.madrid,7199.760652,9.92
20250412_28021252_IES PACIFICO_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.pacifico.madrid/,7198.652468,9.55
20250412_28021252_IES PACIFICO_url_web_NTP.json,http://www.educa.madrid.org/ies.pacifico.madrid,7199.744302,9.91
20250412_28021549_IES PALOMERAS VALLECAS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.palomerasvallecas.madrid/,7198.610138,9.54
20250412_28021549_IES PALOMERAS VALLECAS_url_web_NTP.json,http://www.educa.madrid.org/ies.palomerasvallecas.madrid,7199.726561,9.91
20250412_28021550_IES GARCIA MORATO_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.garciamorato.madrid/,7199.150707,9.72
20250412_28021550_IES GARCIA MORATO_url_web_NTP.json,https://www.educa2.madrid.org/web/centro.ies.garciamorato.madrid,7200.014816,10.0
20250412_28021562_IES GRAN CAPITÁN_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.grancapitan.madrid/,7199.237213,9.75
20250412_28021562_IES GRAN CAPITÁN_url_web_NTP.json,http://www.educa.madrid.org/ies.grancapitan.madrid,7198.689166,9.56
20250412_28022207_IES CARMEN MARTIN GAITE_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.carmenmartingai.moralzarzal/,7199.125189,9.71
20250412_28022207_IES CARMEN MARTIN GAITE_url_web_NTP.json,http://www.educa.madrid.org/ies.carmenmartingai.moralzarzal,7199.833947,9.94
20250412_28022724_IES CIUDAD ESCOLAR_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.ciudadescolar.madrid/,7199.102748,9.7
20250412_28022724_IES CIUDAD ESCOLAR_url_web_NTP.json,http://www.educa.madrid.org/ies.ciudadescolar.madrid,7201.591087,9.47
20250412_28023194_IES FELIPE TRIGO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.felipetrigo.mostoles/,7199.232566,9.74
20250412_28023194_IES FELIPE TRIGO_url_web_NTP.json,http://www.educa.madrid.org/ies.felipetrigo.mostoles,7199.624158,9.87
20250412_28023212_IES JUAN GRIS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.juangris.mostoles/,7199.309548,9.77
20250412_28023212_IES JUAN GRIS_url_web_NTP.json,https://www.iesjuangris.com/,7200.385113,9.87
20250412_28023327_IES CARMEN MARTIN GAITE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.carmenmartingai.navalcarnero/,7198.935364,9.65
20250412_28023327_IES CARMEN MARTIN GAITE_url_web_NTP.json,http://www.educa.madrid.org/ies.carmenmartingai.navalcarnero,7201.287081,9.57
20250412_28023911_IES GERARDO DIEGO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.gerardodiego.pozuelodealarcon/,7199.346321,9.78
20250412_28023911_IES GERARDO DIEGO_url_web_NTP.json,http://www.educa.madrid.org/ies.gerardodiego.pozuelodealarcon,7199.997226,10.0
20250412_28024290_IES VEGA DEL JARAMA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.vegadeljarama.sanfernando/,7199.177934,9.73
20250412_28024290_IES VEGA DEL JARAMA_url_web_NTP.json,http://www.educa.madrid.org/ies.vegadeljarama.sanfernando,7199.568236,9.86
20250412_28024642_IES JOAN MIRO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.joanmiro.sansebastian/,7198.707547,9.57
20250412_28024642_IES JOAN MIRO_url_web_NTP.json,http://www.educa.madrid.org/ies.joanmiro.sansebastian,7200.403943,9.87
20250412_28025014_IES ISAAC PERAL_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.isaacperal.torrejondeardoz/,7198.892757,9.63
20250412_28025014_IES ISAAC PERAL_url_web_NTP.json,http://www.educa.madrid.org/ies.isaacperal.torrejondeardoz,7199.094144,9.7
20250412_28025026_IES LAS VEREDILLAS_url_aula_NTP.json,https://aulavirtual34.educa.madrid.org/ies.lasveredillas.torrejondeardoz/,7199.210781,9.74
20250412_28025026_IES LAS VEREDILLAS_url_web_NTP.json,http://www.educa.madrid.org/ies.lasveredillas.torrejondeardoz,7199.464227,9.82
20250412_28025129_IES ALTO JARAMA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.altojarama.torrelaguna/,7198.869781,9.62
20250412_28025129_IES ALTO JARAMA_url_web_NTP.json,http://www.educa.madrid.org/ies.altojarama.torrelaguna,7199.651548,9.88
20250412_28025658_IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.victoria.villarejo/,7198.723442,9.57
20250412_28025658_IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO_url_web_NTP.json,http://www.educa.madrid.org/ies.victoria.villarejo,7199.691317,9.9
20250412_28025828_IES FELIPE II_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.felipesegundo.madrid/,7199.521874,9.84
