fichero,url,delta_sg,calificacion
20250203_28018368_IES SANTA ENGRACIA_url_web_NTP.json,http://www.educa.madrid.org/ies.santaengracia.madrid,-0.965055,9.68
20250203_28018381_IES ORTEGA Y GASSET_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.ortegaygasset.madrid/,-1.465093,9.51
20250203_28018381_IES ORTEGA Y GASSET_url_web_NTP.json,http://www.educa.madrid.org/ies.ortegaygasset.madrid,-0.342508,9.89
20250203_28018423_IES INSTITUTO POLITECNICO N.1 DEL EJERCITO_url_web_NTP.json,http://www.educa.madrid.org/ies.numerounoejercito.madrid,-0.836619,9.72
20250203_28018435_IES EMILIO CASTELAR_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.emiliocastelar.madrid/,-1.309995,9.56
20250203_28018435_IES EMILIO CASTELAR_url_web_NTP.json,http://www.educa.madrid.org/ies.emiliocastelar.madrid,-0.894578,9.7
20250203_28018460_IES ARCIPRESTE DE HITA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.arciprestedehita.madrid/,-1.007352,9.66
20250203_28018460_IES ARCIPRESTE DE HITA_url_web_NTP.json,http://www.educa.madrid.org/ies.arciprestedehita.madrid,0.28271,9.91
20250203_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.sancristobal.madrid/,-1.123434,9.63
20250203_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_web_NTP.json,http://www.educa.madrid.org/ies.sancristobal.madrid,-0.46343,9.85
20250203_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.rodriguezdevalcarcel.madrid/,-0.833728,9.72
20250203_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_web_NTP.json,http://www.educa.madrid.org/ies.rodriguezdevalcarcel.madrid,-1.430913,9.52
20250203_28018903_IES JOAQUÍN TURINA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.joaquinturina.madrid/,-1.130412,9.62
20250203_28018903_IES JOAQUÍN TURINA_url_web_NTP.json,http://www.educa.madrid.org/ies.joaquinturina.madrid,-0.409192,9.86
20250203_28019312_IES EL LAGO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.ellago.madrid/,-0.809511,9.73
20250203_28019312_IES EL LAGO_url_web_NTP.json,http://www.educa.madrid.org/ies.ellago.madrid,64.535746,0
20250203_28019351_IES SAN FERNANDO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.sanfernando.madrid/,-1.49831,9.5
20250203_28019351_IES SAN FERNANDO_url_web_NTP.json,https://www.iessanfernando.com,-0.164115,9.95
20250203_28019464_IES TIRSO DE MOLINA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.tirsodemolina.madrid/,-1.465072,9.51
20250203_28019464_IES TIRSO DE MOLINA_url_web_NTP.json,http://www.educa.madrid.org/ies.tirsodemolina.madrid,-0.931615,9.69
20250203_28019889_IES LOPE DE VEGA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.lopedevega.madrid/,-0.735715,9.75
20250203_28019889_IES LOPE DE VEGA_url_web_NTP.json,http://www.educa.madrid.org/ies.lopedevega.madrid,-0.793787,9.74
20250203_28019971_IES BARAJAS_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.barajas.madrid/,-1.703944,9.43
20250203_28019971_IES BARAJAS_url_web_NTP.json,http://www.educa.madrid.org/ies.barajas.madrid,-0.114983,9.96
20250203_28020119_IES GREGORIO MARAÑON_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.gregoriomaranon.madrid/,-0.889115,9.7
20250203_28020119_IES GREGORIO MARAÑON_url_web_NTP.json,http://www.educa.madrid.org/ies.gregoriomaranon.madrid,-1.305917,9.56
20250203_28020201_IES BARRIO SIMANCAS_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.barriosimancas.madrid/,-0.877264,9.71
20250203_28020201_IES BARRIO SIMANCAS_url_web_NTP.json,http://www.educa.madrid.org/ies.barriosimancas.madrid,-0.318962,9.89
20250203_28020341_IES VIRGEN DE LA PALOMA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.lapaloma.madrid/,-1.256519,9.58
20250203_28020341_IES VIRGEN DE LA PALOMA_url_web_NTP.json,http://www.educa.madrid.org/ies.lapaloma.madrid,-1.186532,9.6
20250203_28020545_IES CONDE DE ORGAZ_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.condedeorgaz.madrid/,-1.417611,9.53
20250203_28020545_IES CONDE DE ORGAZ_url_web_NTP.json,http://www.educa.madrid.org/ies.condedeorgaz.madrid,-0.80531,9.73
20250203_28020557_IES CARLOS III_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.carlostercero.madrid/,-1.336073,9.55
20250203_28020557_IES CARLOS III_url_web_NTP.json,http://www.educa.madrid.org/ies.carlostercero.madrid,-0.770703,9.74
20250203_28020570_IES SAN BLAS_url_aula_NTP.json,https://aulavirtual36.educa.madrid.org/ies.sanblas.madrid/,-1.114999,9.63
20250203_28020570_IES SAN BLAS_url_web_NTP.json,http://www.educa.madrid.org/ies.sanblas.madrid,-1.662739,9.45
20250203_28020582_IES GÓMEZ MORENO_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.gomezmoreno.madrid/,-1.322471,9.56
20250203_28020582_IES GÓMEZ MORENO_url_web_NTP.json,http://www.educa.madrid.org/ies.gomezmoreno.madrid,-0.601642,9.8
20250203_28020624_IES REY PASTOR_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.reypastor.madrid/,-1.227269,9.59
20250203_28020624_IES REY PASTOR_url_web_NTP.json,http://www.educa.madrid.org/ies.reypastor.madrid,0.006296,10.0
20250203_28020648_IES VALLECAS I_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.vallecasuno.madrid/,-1.43245,9.52
20250203_28020648_IES VALLECAS I_url_web_NTP.json,https://site.educa.madrid.org/ies.vallecasuno.madrid/,-0.707909,9.76
20250203_28020703_IES ENRIQUE TIERNO GALVAN_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.tiernogalvan.madrid/,-1.604968,9.47
20250203_28020703_IES ENRIQUE TIERNO GALVAN_url_web_NTP.json,http://www.educa.madrid.org/ies.tiernogalvan.madrid,-0.842691,9.72
20250203_28020715_IES PIO BAROJA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.piobaroja.madrid/,-0.810666,9.73
20250203_28020715_IES PIO BAROJA_url_web_NTP.json,http://www.educa.madrid.org/ies.piobaroja.madrid,-0.204008,9.93
20250203_28020727_IES PARQUE ALUCHE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.parquealuche.madrid/,-0.781866,9.74
20250203_28020727_IES PARQUE ALUCHE_url_web_NTP.json,http://www.educa.madrid.org/ies.parquealuche.madrid,-0.248168,9.92
20250203_28020739_IES EIJO Y GARAY_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.eijogaray.madrid/,-1.630591,9.46
20250203_28020739_IES EIJO Y GARAY_url_web_NTP.json,http://www.educa.madrid.org/ies.eijogaray.madrid,64.730625,0
20250203_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.almudena.madrid/,-1.222711,9.59
20250203_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_web_NTP.json,http://www.educa.madrid.org/ies.almudena.madrid,-1.154987,9.62
20250203_28020831_IES TETUAN DE LAS VICTORIAS_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.tetuan.madrid/,-1.687884,9.44
20250203_28020831_IES TETUAN DE LAS VICTORIAS_url_web_NTP.json,http://www.educa.madrid.org/ies.tetuan.madrid,-0.629432,9.79
20250203_28020855_IES CARDENAL HERRERA ORIA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.cardenalherrera.madrid/,-1.657442,9.45
20250203_28020855_IES CARDENAL HERRERA ORIA_url_web_NTP.json,http://www.educa.madrid.org/ies.cardenalherrera.madrid,-0.03135,9.99
20250203_28020892_IES BEATRIZ GALINDO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.beatrizgalindo.madrid/,-1.688266,9.44
20250203_28020892_IES BEATRIZ GALINDO_url_web_NTP.json,http://www.educa.madrid.org/ies.beatrizgalindo.madrid,62.936591,0
20250203_28020909_IES ISABEL LA CATOLICA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.isabellacatolica.boadilla/,-0.788343,9.74
20250203_28020909_IES ISABEL LA CATOLICA_url_web_NTP.json,http://www.educa.madrid.org/ies.isabellacatolica.madrid,0.91046,9.7
20250203_28020910_IES JUAN DE LA CIERVA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.juandelacierva.madrid/,-0.893204,9.7
20250203_28020910_IES JUAN DE LA CIERVA_url_web_NTP.json,http://iesjuandelacierva.es,-0.321268,9.89
20250203_28020934_IES CARDENAL CISNEROS_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.cardenalcisnero.madrid/,-0.955597,9.68
20250203_28020934_IES CARDENAL CISNEROS_url_web_NTP.json,http://www.educa.madrid.org/ies.cardenalcisnero.madrid,-0.283792,9.91
20250203_28020946_IES SAN ISIDRO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.sanisidro.madrid/,-1.07195,9.64
20250203_28020946_IES SAN ISIDRO_url_web_NTP.json,http://www.educa.madrid.org/ies.sanisidro.madrid,-0.352966,9.88
20250203_28020958_IES EMPERATRIZ MARIA DE AUSTRIA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.emperatrizmaria.madrid/,-1.479926,9.51
