fichero,url,compliance_Strict-Transport-Security,compliance_Content-Security-Policy,compliance_X-Content-Type-Options,compliance_X-Frame-Options,compliance_X-XSS-Protection,compliance_Referrer-Policy,compliance_Permissions-Policy,compliance_Cache-Control,compliance_Set-Cookie,compliance_X-Powered-By,compliance_Server,compliance_score,calificacion
20250511_28001769_IES EL CARRASCAL_url_aula_webheader.json,https://aulavirtual32.educa.madrid.org/ies.elcarrascal.arganda/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28001769_IES EL CARRASCAL_url_web_webheader.json,http://www.educa.madrid.org/ies.elcarrascal.arganda,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28002181_IES JUAN CARLOS I_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.juancarlosprimero.ciempozuelos/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28002181_IES JUAN CARLOS I_url_web_webheader.json,http://www.educa.madrid.org/ies.juancarlosprimero.ciempozuelos,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28002312_IES MARQUES DE SANTILLANA_url_aula_webheader.json,https://aulavirtual3.educa.madrid.org/ies.marquesdesantil.colmenarviejo/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28002312_IES MARQUES DE SANTILLANA_url_web_webheader.json,http://www.educa.madrid.org/ies.marquesdesantil.colmenarviejo,"OK_max_age,KO_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",KO_X-Powered-By,KO_Server,0.0,0.0
20250511_28002415_IES JAIME FERRAN_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.jaimeferran.colladovillalba/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28002415_IES JAIME FERRAN_url_web_webheader.json,http://www.educa.madrid.org/ies.jaimeferran.colladovillalba,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,OK_Server,0.36,0.36
20250511_28002580_IES MIGUEL CATALÁN_url_aula_webheader.json,https://aulavirtual3.educa.madrid.org/ies.miguelcatalan.coslada/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28002580_IES MIGUEL CATALÁN_url_web_webheader.json,http://www.educa.madrid.org/ies.miguelcatalan.coslada,"OK_max_age,KO_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",KO_X-Powered-By,KO_Server,0.0,0.0
20250511_28003201_IES MATEMATICO PUIG ADAM_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.puigadam.getafe/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28003201_IES MATEMATICO PUIG ADAM_url_web_webheader.json,http://www.educa.madrid.org/ies.puigadam.getafe,"OK_max_age,KO_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",KO_X-Powered-By,KO_Server,0.0,0.0
20250511_28003304_IES ALARNES_url_aula_webheader.json,https://aulavirtual3.educa.madrid.org/ies.alarnes.getafe/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28003304_IES ALARNES_url_web_webheader.json,http://www.educa.madrid.org/ies.alarnes.getafe,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250511_28003882_IES JOSE DE CHURRIGUERA_url_aula_webheader.json,https://aulavirtual32.educa.madrid.org/ies.churriguera.leganes/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
