fichero,url,dias_restantes,emisor,algoritmo_firma,algoritmo_clave,longitud_clave,calidad,calificacion
20250216_28003304_IES ALARNES_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.alarnes.getafe/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003304_IES ALARNES_url_web_Certificado.json,www.educa.madrid.org/ies.alarnes.getafe,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003882_IES JOSE DE CHURRIGUERA_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.churriguera.leganes/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003882_IES JOSE DE CHURRIGUERA_url_web_Certificado.json,www.educa.madrid.org/ies.churriguera.leganes,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003894_IES LUIS VIVES_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.luisvives.leganes/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003894_IES LUIS VIVES_url_web_Certificado.json,www.educa.madrid.org/ies.luisvives.leganes,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003900_IES MARIA ZAMBRANO_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.mariazambrano.leganes/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28003900_IES MARIA ZAMBRANO_url_web_Certificado.json,www.educa.madrid.org/ies.mariazambrano.leganes,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28004059_IES CERVANTES_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.cervantes.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28004059_IES CERVANTES_url_web_Certificado.json,www.educa.madrid.org/ies.cervantes.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28013899_IES EL ESPINILLO _url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.elespinillo.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28013899_IES EL ESPINILLO _url_web_Certificado.json,www.educa.madrid.org/ies.elespinillo.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28015756_IES VALDEBERNARDO_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.valdebernardo.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28015756_IES VALDEBERNARDO_url_web_Certificado.json,www.educa.madrid.org/ies.valdebernardo.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018344_IES SANTA TERESA DE JESUS_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.santateresa.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018344_IES SANTA TERESA DE JESUS_url_web_Certificado.json,www.educa.madrid.org/ies.santateresa.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018356_IES SANTAMARCA_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.santamarca.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018356_IES SANTAMARCA_url_web_Certificado.json,www.educa.madrid.org/ies.santamarca.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018368_IES SANTA ENGRACIA_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.santaengracia.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018368_IES SANTA ENGRACIA_url_web_Certificado.json,www.educa.madrid.org/ies.santaengracia.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018381_IES ORTEGA Y GASSET_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.ortegaygasset.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018381_IES ORTEGA Y GASSET_url_web_Certificado.json,www.educa.madrid.org/ies.ortegaygasset.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
