instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES RAMON Y CAJAL,9.74,4.84,7.68,3.6,6.3
IES MIGUEL DELIBES,9.78,4.84,7.85,3.6,6.34
IES CELESTINO MUTIS,9.79,4.84,7.77,3.6,6.32
IES DAMASO ALONSO,9.78,4.84,7.85,3.6,6.33
IES HUMANEJOS,9.59,4.84,7.42,3.55,6.2
IES LEON FELIPE,9.79,4.84,7.68,3.6,6.31
IES PRADO DE SANTO DOMINGO,9.78,4.84,7.71,3.6,6.31
IES ARTURO SORIA,9.68,4.84,7.84,3.6,6.31
IES MATEO ALEMAN,9.8,4.84,7.64,3.6,6.31
IES GALILEO GALILEI,9.8,4.84,7.48,3.6,6.28
IES BLAS DE OTERO,9.79,4.84,7.83,3.6,6.33
IES SAN MATEO,9.78,4.84,7.79,3.6,6.33
IES MARIANA PINEDA,9.79,4.84,7.85,3.6,6.34
IES VALLECAS-MAGERIT,9.8,4.84,7.67,3.6,6.31
IES LAS MUSAS,9.8,4.84,7.79,3.6,6.33
IES LEONARDO DA VINCI,9.79,4.84,7.74,3.6,6.32
IES MORATALAZ,9.79,4.78,7.75,3.6,6.31
IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,9.8,4.84,7.88,3.6,6.35
IES ARQUITECTO PERIDIS,9.8,4.84,7.76,3.6,6.33
IES CIUDAD DE JAEN,9.78,4.84,7.86,3.6,6.34
IES ALAMEDA DE OSUNA,9.12,4.84,7.53,4.5,6.44
IES MANUELA MALASAÑA,9.78,4.84,7.76,3.55,6.3
IES GASPAR MELCHOR DE JOVELLANOS,9.8,4.84,7.79,3.6,6.33
IES SAN ISIDORO DE SEVILLA,9.79,4.84,7.88,3.6,6.34
IES ALONSO QUIJANO,9.79,4.84,7.8,3.6,6.33
IES JOSE LUIS SAMPEDRO,9.78,4.84,7.63,3.6,6.3
IES JUAN DE VILLANUEVA,9.79,4.84,7.87,3.6,6.34
IES LA DEHESILLA,9.77,4.84,7.82,3.6,6.33
IES LA ARBOLEDA,9.79,4.84,7.64,3.6,6.3
IES LA POVEDA,9.8,4.84,7.26,3.6,6.25
IES ANGEL CORELLA,9.78,4.84,7.62,3.6,6.3
IES CIUDAD DE LOS ÁNGELES,9.79,4.84,7.81,3.6,6.33
IES ROSA CHACEL,9.8,4.84,7.18,3.6,6.24
IES ANTONIO DOMINGUEZ ORTIZ,9.79,4.84,7.91,3.6,6.35
IES JOAQUÍN RODRIGO,9.79,4.84,7.73,3.6,6.32
IES PRADOLONGO,9.78,4.84,7.45,3.6,6.27
IES REY FERNANDO VI,9.8,4.84,7.78,3.6,6.33
IES VICTORIA KENT,9.74,4.84,7.55,3.6,6.28
IES DIEGO VELAZQUEZ,9.77,4.84,7.35,3.6,6.26
IES VIRGEN DE LA PAZ,9.78,4.84,7.81,3.6,6.33
IES LUIS BUÑUEL,9.79,4.84,7.83,3.57,6.32
IES RAFAEL ALBERTI,9.79,4.84,7.71,3.6,6.32
IES CARPE DIEM,9.8,4.84,7.81,3.6,6.33
IES CLARA CAMPOAMOR,9.79,4.84,7.88,3.57,6.33
IES SALVADOR DALI,9.78,4.84,7.71,3.6,6.31
IES SIGLO XXI,9.78,4.84,7.59,3.6,6.29
IES MIRASIERRA,9.79,4.84,7.74,3.6,6.32
IES FRANCISCO TOMAS Y VALIENTE,9.7,4.84,7.81,3.6,6.31
IES ISLAS FILIPINAS,9.79,4.84,7.82,3.6,6.33
IES NARCIS MONTURIOL,9.71,4.84,7.89,3.6,6.32
IES JAIME FERRAN CLUA,9.79,4.84,7.6,3.6,6.3
IES MARIA DE MOLINA,9.79,4.84,7.45,3.6,6.28
IES ISAAC NEWTON,9.79,4.84,7.56,3.6,6.29
IES SEVERO OCHOA,9.78,4.84,7.8,3.6,6.33
IES PARQUE DE LISBOA,9.79,4.84,7.84,3.6,6.33
IES LA SERNA,9.78,4.84,7.88,3.6,6.34
IES LA FORTUNA,9.8,4.84,7.71,3.6,6.32
IES VELAZQUEZ,9.79,4.84,7.87,3.6,6.34
IES MANUEL ELKIN PATARROYO,9.79,4.84,7.76,3.6,6.32
IES CAMILO JOSE CELA,9.79,4.84,7.9,3.6,6.34
IES VILLA DE VALDEMORO,9.8,4.84,7.86,3.6,6.34
IES ALPAJES,9.7,4.84,7.7,3.6,6.29
IES MARIA DE ZAYAS Y SOTOMAYOR,9.77,4.84,7.81,3.6,6.33
IES ALKALA-NAHAR,9.77,4.84,7.81,3.6,6.33
IES JOSEFINA ALDECOA,9.8,4.84,6.76,3.6,6.18
IES GRANDE COVIAN,9.78,4.84,7.85,3.6,6.33
IES JULIO CARO BAROJA,9.79,4.84,7.64,3.6,6.3
IES SALVADOR ALLENDE,9.8,4.84,7.78,3.6,6.33
IES LAGUNA DE JOATZEL,9.78,4.84,7.59,3.6,6.29
IES ISAAC ALBENIZ,9.82,4.84,6.93,2.7,5.89
IES MARQUES DE SUANZES,9.82,4.84,6.77,2.67,5.86
IES JULIO VERNE,9.8,4.84,7.87,3.6,6.34
IES SALVADOR DALÍ,9.79,4.84,7.23,3.6,6.24
IES GABRIEL GARCIA MARQUEZ,9.78,4.84,7.79,3.6,6.32
IES VILLABLANCA,9.8,4.84,7.8,3.6,6.33
IES CARLOS BOUSOÑO,9.8,4.84,7.22,3.6,6.24
IES LOS ROSALES,9.75,4.84,7.9,3.6,6.33
