instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES JUAN DE HERRERA,9.83,4.84,6.69,3.6,6.17
IES SILVERIO LANZA,9.84,5.0,7.79,3.6,6.39
IES FORTUNY,9.3,4.84,6.6,3.6,6.03
IES CIUDAD DE LOS POETAS,9.63,4.84,6.91,3.6,6.16
IES RAMON Y CAJAL,9.06,4.84,6.51,3.6,5.95
IES MIGUEL DELIBES,8.94,4.84,7.18,1.16,5.17
IES CELESTINO MUTIS,8.86,4.84,7.48,0.0,4.79
IES DAMASO ALONSO,9.74,4.84,6.87,3.6,6.18
IES LEON FELIPE,8.96,4.84,6.86,1.85,5.37
IES PRADO DE SANTO DOMINGO,8.89,4.84,7.31,0.0,4.77
IES ARTURO SORIA,9.2,4.84,5.81,3.6,5.88
IES MATEO ALEMAN,9.56,4.84,7.68,3.6,6.25
IES GALILEO GALILEI,9.26,4.84,6.46,3.6,5.99
IES BLAS DE OTERO,8.91,4.84,6.64,0.0,4.68
IES SAN MATEO,6.37,4.84,5.56,2.65,4.81
IES MARIANA PINEDA,8.89,4.84,7.68,0.0,4.83
IES VALLECAS-MAGERIT,8.9,0.0,8.52,0.0,3.5
IES LAS MUSAS,9.86,4.84,7.7,3.6,6.33
IES LEONARDO DA VINCI,8.87,4.81,7.22,0.0,4.74
IES MORATALAZ,9.31,4.84,6.74,3.55,6.03
IES ESCUELA SUPERIOR DE HOSTELERIA Y TURISMO,9.84,4.78,7.71,3.6,6.31
IES ARQUITECTO PERIDIS,9.28,4.84,6.69,3.6,6.04
IES CIUDAD DE JAEN,8.91,4.84,6.46,0.0,4.65
IES ALAMEDA DE OSUNA,9.47,4.84,6.54,3.6,6.06
IES MANUELA MALASAÑA,8.89,4.84,7.51,0.0,4.8
IES GASPAR MELCHOR DE JOVELLANOS,8.89,4.84,7.76,0.0,4.84
IES SAN ISIDORO DE SEVILLA,9.03,4.84,6.54,3.55,5.93
IES JORGE GUILLEN,9.81,4.84,7.71,3.6,6.32
IES ALONSO QUIJANO,8.87,4.84,7.34,0.0,4.77
IES JOSE LUIS SAMPEDRO,8.97,4.84,6.52,3.6,5.93
IES MANUEL AZAÑA,9.83,5.0,7.77,3.6,6.38
IES JUAN DE VILLANUEVA,9.39,4.84,6.59,3.6,6.05
IES LA DEHESILLA,9.19,4.84,6.51,3.6,5.99
IES LA ARBOLEDA,8.89,4.84,7.68,0.0,4.83
IES LA POVEDA,8.85,4.84,7.2,0.0,4.74
IES ANGEL CORELLA,8.87,4.84,7.52,0.0,4.8
IES CIUDAD DE LOS ÁNGELES,8.91,4.84,6.4,0.0,4.64
IES ROSA CHACEL,9.35,4.84,7.72,1.8,5.58
IES ANTONIO DOMINGUEZ ORTIZ,8.87,4.84,7.23,0.0,4.75
IES JOAQUÍN RODRIGO,8.88,4.84,7.51,0.0,4.8
IES PRADOLONGO,9.17,4.84,6.47,3.6,5.98
IES REY FERNANDO VI,9.3,4.84,7.14,3.6,6.11
IES VICTORIA KENT,9.29,4.84,6.81,3.6,6.06
IES DIEGO VELAZQUEZ,9.32,4.84,0.0,4.5,5.36
IES VIRGEN DE LA PAZ,9.37,4.84,6.44,3.6,6.02
IES LUIS BUÑUEL,9.34,4.84,7.35,1.8,5.52
IES RAFAEL ALBERTI,9.29,4.84,6.43,3.6,6.0
IES CARPE DIEM,9.47,4.84,6.58,3.88,6.17
IES CLARA CAMPOAMOR,9.58,4.84,5.68,3.57,5.95
IES SALVADOR DALI,9.86,4.84,7.71,3.6,6.33
IES SIGLO XXI,8.88,4.84,7.49,0.0,4.79
IES MIRASIERRA,8.88,4.84,7.59,0.0,4.81
IES FRANCISCO TOMAS Y VALIENTE,9.84,4.84,7.7,3.6,6.33
IES ISLAS FILIPINAS,8.91,4.84,6.79,3.6,5.96
IES NARCIS MONTURIOL,9.43,4.84,6.88,3.6,6.1
IES JAIME FERRAN CLUA,9.43,4.84,6.61,3.6,6.06
IES MARIA DE MOLINA,9.07,4.84,6.58,3.6,5.97
IES ISAAC NEWTON,8.89,4.84,5.97,0.0,4.57
IES ISIDRA DE GUZMÁN,9.23,4.84,7.02,3.6,6.07
IES SEVERO OCHOA,9.48,4.84,6.41,3.55,6.02
IES PARQUE DE LISBOA,9.43,4.84,5.76,3.49,5.9
IES LA SERNA,9.4,4.84,6.92,3.6,6.1
IES LA FORTUNA,9.63,4.84,6.73,3.55,6.11
IES VELAZQUEZ,9.1,4.84,6.93,3.6,6.03
IES MANUEL ELKIN PATARROYO,9.03,4.84,6.69,3.6,5.97
IES CAMILO JOSE CELA,8.88,4.84,7.47,0.0,4.79
IES VILLA DE VALDEMORO,9.13,4.84,6.18,3.6,5.92
IES ALPAJES,9.42,4.84,6.56,3.6,6.05
IES MARIA DE ZAYAS Y SOTOMAYOR,8.79,4.84,7.34,0.0,4.75
IES ALKALA-NAHAR,9.29,4.84,6.79,3.55,6.04
IES IGNACIO ELLACURIA,9.11,4.84,6.66,1.8,5.36
IES JOSEFINA ALDECOA,9.43,4.84,6.9,3.6,6.1
IES GRANDE COVIAN,9.33,4.84,6.88,3.6,6.08
IES LA CAÑADA,9.82,5.0,5.38,3.6,6.02
IES JULIO CARO BAROJA,9.02,4.84,6.07,3.55,5.86
IES SALVADOR ALLENDE,8.78,4.84,7.24,0.0,4.73
IES LAGUNA DE JOATZEL,8.88,4.84,7.86,0.0,4.85
IES ISAAC ALBENIZ,9.3,4.84,6.26,3.55,5.96
IES MARQUES DE SUANZES,8.88,4.84,7.65,0.0,4.82
IES PEREZ GALDOS,9.14,4.84,6.39,3.55,5.94
IES JULIO VERNE,8.87,4.84,7.33,0.0,4.77
IES SALVADOR DALÍ,8.89,4.84,6.76,0.05,4.71
IES GABRIEL GARCIA MARQUEZ,9.29,4.84,6.59,3.6,6.02
IES VILLABLANCA,8.87,4.84,6.96,0.0,4.71
IES CARLOS BOUSOÑO,8.88,4.84,7.58,0.0,4.81
IES LOS ROSALES,8.96,4.84,6.64,4.42,6.24
IES BENJAMIN RUA,8.87,4.84,7.39,0.0,4.78
IES LUIS DE GONGORA,9.28,4.84,5.42,3.6,5.84
IES AL-SATT,8.87,4.84,7.48,0.0,4.79
IES ALDEBARAN,9.84,4.84,7.71,3.6,6.33
IES GUSTAVO ADOLFO BECQUER,8.9,4.84,7.93,0.0,4.86
IES JOSÉ HIERRO,8.79,4.84,7.11,0.05,4.73
IES DE GUADARRAMA,9.83,4.84,7.45,3.6,6.29
IES JUAN DE MAIRENA,9.43,4.84,6.89,4.04,6.26
IES SAN NICASIO,8.88,4.84,6.88,0.0,4.7
IES ITURRALDE,8.89,4.84,7.79,0.0,4.84
IES VILLA DE VALLECAS,8.87,4.84,7.57,0.0,4.8
IES ANA OZORES,9.83,5.0,7.74,3.6,6.38
IES SAN JUAN DE LA CRUZ,8.88,4.84,7.64,0.0,4.82
IES EL BURGO-IGNACIO ECHEVERRÍA,8.86,4.84,7.45,0.0,4.79
IES JULIO PALACIOS,8.89,4.84,7.58,0.0,4.81
IES AGORA,8.87,4.84,7.43,0.0,4.78
IES EL PINAR,8.6,4.84,7.92,0.0,4.79
IES PROFESOR MAXIMO TRUEBA,8.87,4.84,7.66,0.0,4.82
IES DE LA CABRERA,8.88,4.84,7.32,0.0,4.77
IES ANTONIO GAUDI,8.88,4.84,7.51,0.0,4.8
IES JOSÉ LUIS LÓPEZ ARANGUREN,9.42,4.84,6.67,3.6,6.07
IES ALTAIR,9.14,4.84,6.81,3.55,6.0
IES OCTAVIO PAZ,9.87,5.0,6.55,3.6,6.21
IES JUANA DE CASTILLA,8.07,4.84,7.15,4.34,6.06
IES EL CAÑAVERAL,8.88,4.84,7.81,0.0,4.84
IES PROFESOR ANGEL YSERN,8.89,4.84,8.01,0.0,4.88
IES LA LAGUNA,8.89,4.84,7.36,0.0,4.78
IES LAS LAGUNAS,8.77,4.84,7.83,0.0,4.82
IES PALAS ATENEA,9.11,4.84,6.49,3.6,5.96
IES CALATALIFA,8.86,4.84,7.3,0.0,4.76
